user_id,gender,age,height,weight,duration,heart_rate,body_temp,user_id,calories
14733363,0,68,190.0,94.0,29.0,105.0,40.8,14733363,231.0
14861698,1,20,166.0,60.0,14.0,94.0,40.3,14861698,66.0
11179863,0,69,179.0,79.0,5.0,88.0,38.7,11179863,26.0
16180408,1,34,179.0,71.0,13.0,100.0,40.5,16180408,71.0
17771927,1,27,154.0,58.0,10.0,81.0,39.8,17771927,35.0
15130815,1,36,151.0,50.0,23.0,96.0,40.7,15130815,123.0
19602372,1,33,158.0,56.0,22.0,95.0,40.5,19602372,112.0
11117088,0,41,175.0,85.0,25.0,100.0,40.7,11117088,143.0
12132339,0,60,186.0,94.0,21.0,97.0,40.4,12132339,134.0
17964668,1,26,146.0,51.0,16.0,90.0,40.2,17964668,72.0
13723164,1,36,177.0,76.0,1.0,74.0,37.8,13723164,3.0
13681290,1,21,157.0,56.0,17.0,100.0,40.0,13681290,92.0
15566424,0,66,171.0,79.0,11.0,90.0,40.0,15566424,58.0
12891699,1,32,157.0,54.0,18.0,93.0,40.4,12891699,88.0
13823829,0,53,182.0,85.0,2.0,82.0,38.1,13823829,7.0
17557348,1,39,156.0,62.0,28.0,104.0,40.8,17557348,170.0
12198133,0,39,182.0,82.0,4.0,82.0,38.6,12198133,11.0
15236104,0,46,169.0,67.0,11.0,89.0,40.2,15236104,43.0
11042324,1,27,171.0,65.0,4.0,85.0,38.6,11042324,15.0
16864285,0,50,188.0,86.0,14.0,94.0,40.2,16864285,74.0
11674347,0,67,189.0,93.0,8.0,77.0,39.2,11674347,29.0
19797300,1,31,148.0,50.0,8.0,84.0,39.5,19797300,32.0
14711095,1,33,157.0,60.0,3.0,80.0,38.7,14711095,10.0
14434854,1,20,165.0,59.0,29.0,100.0,41.0,14434854,155.0
14893804,0,48,182.0,85.0,1.0,80.0,37.7,14893804,3.0
17231597,0,29,176.0,75.0,10.0,83.0,39.7,17231597,24.0
10901446,0,33,173.0,73.0,7.0,78.0,39.3,10901446,12.0
15874362,0,42,190.0,88.0,3.0,83.0,38.9,15874362,10.0
15569252,1,62,159.0,59.0,29.0,106.0,41.2,15569252,195.0
15615743,0,38,171.0,75.0,2.0,81.0,38.2,15615743,5.0
13363046,0,20,183.0,88.0,16.0,97.0,40.5,13363046,69.0
17572853,1,25,160.0,59.0,24.0,102.0,40.3,17572853,136.0
17157339,1,24,165.0,59.0,18.0,91.0,40.2,17157339,80.0
18328111,1,42,165.0,68.0,22.0,93.0,40.8,18328111,107.0
19303479,0,22,182.0,84.0,29.0,114.0,41.0,19303479,200.0
10699201,1,74,158.0,59.0,10.0,93.0,39.6,10699201,56.0
15283313,1,70,154.0,59.0,10.0,88.0,40.0,15283313,50.0
